video,numFrame,seconds,fps,rfps,subset,featureFrame
v_sJFgo9H6zNo,4164,139.04,29.9,29.86191,training,4152
v_u2uoYvo8J5s,6253,208.86,29.9,29.87647,training,6240
v_0Gr4aKQzGYk,2017,67.43,29.9,29.77903,training,2008
v_--0edUL8zmA,2301,92.18,25.0,24.82100,training,2288
v_c_NlYvL96y0,3752,125.27,30.0,29.82358,training,3736
v_hHiPEAiYKv0,2489,83.06,30.0,29.85793,training,2480
v_GCtrfXIBbwA,3234,108.04,29.9,29.84080,training,3224
v_rs7er4e67ec,2688,107.67,25.0,24.81657,training,2672
v_6ZabZdqdLyA,2150,71.82,29.9,29.74102,training,2136
v_yUSo_xjyGhM,1799,120.05,15.0,14.86047,training,1784
v_Ou24uqaFRPg,1208,50.48,23.9,23.61331,training,1192
v_sjyZWmvTGA4,860,35.97,23.9,23.57520,training,848
v_BxzOUJbq28s,3341,225.42,14.8,14.76355,training,3328
v_Z8yNbpjUSLc,4986,166.51,29.9,29.88409,training,4976
v_6uhLrPgbpUA,1380,46.16,29.9,29.63605,training,1368
v_jIQFVSymHQs,348,11.73,29.7,28.64450,training,336
v_2U0vMYnC49c,1514,50.62,29.9,29.71158,training,1504
v_t2wawfMaTzM,1980,66.20,29.9,29.72810,training,1968
v_gKkk82LG8H0,3643,121.53,30.0,29.88562,training,3632
v_UvuXGKesWS0,3078,102.80,29.9,29.80545,training,3064
v_8pR6NBu7Ay0,5889,196.49,30.0,29.92519,training,5880
v_-YjGbsbDoxs,4868,162.35,30.0,29.91069,training,4856
v_p800u2wCKbE,1210,40.47,29.9,29.65159,training,1200
v_BfnM0eyjB5Q,4448,185.62,24.0,23.87674,training,4432
v_-Xl95IW5H_s,4275,178.21,24.0,23.92683,training,4264
v_maXU1lGguxs,2126,85.22,24.9,24.78291,training,2112
v_R4ES1QLRvtg,4489,187.39,24.0,23.90736,training,4480
v_jafEh82XETQ,3342,111.60,29.9,29.82079,training,3328
