video_name,clip_num,class
v_sJFgo9H6zNo,519,132
v_u2uoYvo8J5s,780,188
v_0Gr4aKQzGYk,251,72
v_--0edUL8zmA,286,46
v_c_NlYvL96y0,467,78
v_hHiPEAiYKv0,310,55
v_GCtrfXIBbwA,403,18
v_rs7er4e67ec,334,141
v_6ZabZdqdLyA,267,188
v_yUSo_xjyGhM,223,71
v_Ou24uqaFRPg,149,43
v_sjyZWmvTGA4,106,108
v_BxzOUJbq28s,416,159
v_Z8yNbpjUSLc,622,150
v_6uhLrPgbpUA,171,102
v_jIQFVSymHQs,42,95
v_2U0vMYnC49c,188,169
v_t2wawfMaTzM,246,93
v_gKkk82LG8H0,454,159
v_UvuXGKesWS0,383,187
v_8pR6NBu7Ay0,735,35
v_-YjGbsbDoxs,607,73
v_p800u2wCKbE,150,150
v_BfnM0eyjB5Q,554,101
v_-Xl95IW5H_s,533,40
v_maXU1lGguxs,264,82
v_R4ES1QLRvtg,560,55
v_jafEh82XETQ,416,29
v_0YQPGAsZPgY,621,159
v_5Bo0gFXxDQk,62,198
v_hmT9H0IjiGs,1615,150
v_97McCuWAynA,475,186
v_WEohpavjsIY,407,70
v_IGcsVPa34Hc,802,103
v_qogdv5DWzkQ,827,110
v_gSeE_Ms-2TI,591,174
v_1PTNnaEu8xo,608,116
v_rhOtqArO-3Y,864,181
v_xr64cSwpNOM,308,21
v_xi4puZ1ulP4,677,90
v_x99PS_O6JW8,144,59
v_D_XMD02v690,727,126
v_lVMMPkvnid8,590,109
v_qJYp25ni6tg,722,16
v_mQHY2uMOMP4,431,68
v_a2vaM_aRHv4,662,149
v_XnctHnlJB4g,62,10
v_5DhbyYavYp4,878,191
v_YUFPWt0VQ1Y,276,128
v_yVsOoFr61x4,88,81
v_WMdeqUyHWSo,405,144
v_5iQsKA84vWo,581,2
v_G9ZEi6eRhi0,495,46
v_lpeyMIH1YqA,75,31
v_zp86ztwZEKk,329,14
v_br8Ao_UBEZA,153,63
v_buhaBimF4M0,784,173
v_LcmTBkWvV74,337,72
v_KaGGtAhiH64,796,163
v_0bosp4-pyTM,431,178
v_IgEc5mY9L44,341,198
v_amCD-2TIKw0,370,1
v_0MtST08F2Xc,67,168
v_WUOiJOqrHlI,546,26
v_V90aT-d_FKo,241,12
v_I4wkBjpwAAU,347,192
v_M9uQCTr2-r0,575,26
v_Jifw8dC5yTM,467,83
v_5o9iv0wC59g,83,159
v_4S5ethZhgqs,62,0
v_Ci9WKE6wkOQ,580,145
v_IlD4gfHmWIg,349,54
v_Z4OyG8ZzUpg,659,69
v_F_EHrfbYsRE,679,176
v_1FMjfLRpXwM,530,110
v_yxSBQXuOwuc,538,177
v_C0F-xroK_Eg,767,56
v_adz3kDJLCF4,127,37
v_ZEgmWaMa9PU,858,41
v_1BfYAuxv6Wk,236,88
v_kcB7HQPxzDM,239,13
v_Iuk7PNmG3tQ,429,161
v_3C4Nry679BA,41,16
v_JnYteBN2LDI,227,88
v_VCldTcZi0aE,336,128
v_K8G5CBJtluY,171,127
v_srXhWAGzd-s,680,136
v_b5GrYqt5tRQ,295,116
v_jCVi9xt3GUY,125,71
v_CHkT4As5jZI,198,88
v_jgNeMnPVfkQ,219,161
v_8qAdvUvNuts,374,58
v_MbCAiWBhAjo,505,150
v_r2oMItb5EVM,407,151
v_zDBpa2miW8A,188,123
v_gF14lRI0HUM,70,2
v_7tdlcmbuLOA,763,195
v_E7NTSqMgx44,69,128
v_0J55EGFLglQ,72,133
v_NiaE7amNW7s,592,54
v_KvscV2XxyTE,385,54
v_zlXvqnBqVvI,83,179
v_R0sADQPdso8,341,140
v_3l7quTy4c2s,650,34
v_hjsu3SGAdLs,409,65
v_dAa10hlgxCY,854,104
v_UxlDSfC7S-0,584,152
v_pOyP_kDaskY,367,18
v_mvQxhjjVWOk,659,42
v_WBkqGBFsdgI,376,179
v_fN2DiOswmOA,693,16
v_oOu5vC3EB5E,242,63
v_jmmOBfS3JIg,392,77
v_UA_RDwuO47s,225,88
v_fxlTN3mCWDA,635,159
v_FOF8YgUhRNA,254,88
v_TxxUmibEy9Q,565,100
v_0UcBldDI0RA,585,198
v_SID0y9y6Uk4,523,130
v_J65l9OEP3pI,442,169
v_dWBnXy2nauU,93,76
v_sFKOnFMJF2Q,445,148
v_uPqh5uA1mhA,367,48
v_h5fX5z-unJc,80,162
v_8l7SuE4_lCk,49,37
v_BbQ39yhaC54,372,93
v_5TV-V6Cxero,532,40
v_Yojuicji624,549,181
v_lGwUq5vZGEk,885,110
v_Yp-NJgTAOCc,488,83
v_R4ouBBtg-B4,377,181
v_G16xScfD5WM,309,116
v_U6M5hbiHn5Q,219,96
v_SpwOzrXw9JU,634,178
v_WltsIClflnA,127,188
v_yxZ4ouqcld4,427,176
v_VcbMGRcN9Cc,217,189
v_hMUoeOFmquI,402,176
v_bLqd98mmu3w,353,187
v_uO9qoK8zGQc,590,97
v_UCOn2HkJJt8,692,91
v_-b2lkhdJXf4,401,133
v_Ptw9hFDV4ow,387,2
v_7XGimCWcafc,835,118
v_xYuqZ_RrCC0,382,60
v_EY4YIa-kNgs,746,71
v_C5KcdwGSvbw,407,103
v_CtA4VynDEkI,88,193
v_YcDlkZkPb6g,778,44
v_e0Qj2F3V6fM,802,151
v_s9Q8SZbixV4,878,70
v_EcQ7DcVefdw,472,77
v_zwx1Kig4nXg,692,70
v_1G3rv9ssDY4,394,102
v_RztM-NVwV5o,734,35
v_KRfdZgxLZPY,1076,52
v_MYRsm8m9mk4,439,192
v_LAkaYds-8X0,354,109
v_GTxmHim5JnY,55,188
v_E-6XZrDYRuM,778,51
v_-XCESzrIWXA,639,133
v_Po6tK3rYE8E,332,137
v_wvewX55VADs,649,3
v_352jrqIWSFY,25,126
v_v_Vg4a8igc0,135,12
v_FGAlwzRvAHg,548,197
v_LG7p5JrgMfE,502,3
v_plZs-3GtoOo,232,68
v_DU36SNYN-rw,343,125
v_55bimE5eU9E,424,6
v_8d8juWOKb0c,489,130
v_Jz9ZxenBLa8,291,170
v_o2mqzjWJJNw,270,198
v_unz00-r84NY,184,141
v_IOoj4yWCoPg,294,80
v_6gZuc4umTPk,872,47
v_gnVupEzu59g,722,183
v_8P0N5psQrEI,411,166
v_qI_Bo0D6p7I,828,140
v_qsTCTQo-wI8,734,159
v_UBtVJ-w9O28,883,116
v_NsYBZUTzgDw,122,120
