[12/15 18:58:25] bcn-ac INFO: Full config saved to ./output/mlp-anet-infer\train_val_3d.config.json
[12/15 18:58:26] bcn-ac INFO: Missing keys: []
[12/15 18:58:26] bcn-ac INFO: Unexpect keys: []
[12/15 18:58:26] bcn-ac INFO: ==> loaded checkpoint './weights/ckpt_epoch_32.pth'
[12/15 18:58:26] bcn-ac INFO: MLP_Net(
  (linear1): Linear(in_features=4096, out_features=2048, bias=True)
  (bn1): BatchNorm1d(2048, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu1): ReLU(inplace=True)
  (linear2): Linear(in_features=2048, out_features=2048, bias=True)
  (bn2): BatchNorm1d(2048, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu2): ReLU(inplace=True)
  (drop): Dropout(p=0.7, inplace=False)
  (fc): Linear(in_features=2048, out_features=200, bias=True)
)
[12/15 18:58:26] bcn-ac INFO: ==> Begin Validating, clip stride: -1, val video clip num 4926
[12/15 18:58:33] bcn-ac INFO: 1/4926, top1: 1.0000, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 2/4926, top1: 1.0000, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 3/4926, top1: 1.0000, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 4/4926, top1: 1.0000, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 5/4926, top1: 1.0000, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 6/4926, top1: 1.0000, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 7/4926, top1: 1.0000, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 8/4926, top1: 1.0000, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 9/4926, top1: 1.0000, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 10/4926, top1: 1.0000, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 11/4926, top1: 1.0000, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 12/4926, top1: 0.9167, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 13/4926, top1: 0.9231, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 14/4926, top1: 0.9286, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 15/4926, top1: 0.9333, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 16/4926, top1: 0.8750, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 17/4926, top1: 0.8824, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 18/4926, top1: 0.8889, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 19/4926, top1: 0.8947, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 20/4926, top1: 0.9000, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 21/4926, top1: 0.9048, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 22/4926, top1: 0.9091, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 23/4926, top1: 0.9130, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 24/4926, top1: 0.9167, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 25/4926, top1: 0.8800, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 26/4926, top1: 0.8846, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 27/4926, top1: 0.8889, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 28/4926, top1: 0.8571, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 29/4926, top1: 0.8621, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 30/4926, top1: 0.8667, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 31/4926, top1: 0.8710, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 32/4926, top1: 0.8750, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 33/4926, top1: 0.8788, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 34/4926, top1: 0.8529, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 35/4926, top1: 0.8571, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 36/4926, top1: 0.8611, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 37/4926, top1: 0.8649, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 38/4926, top1: 0.8684, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 39/4926, top1: 0.8462, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 40/4926, top1: 0.8500, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 41/4926, top1: 0.8537, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 42/4926, top1: 0.8571, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 43/4926, top1: 0.8605, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 44/4926, top1: 0.8636, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 45/4926, top1: 0.8667, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 46/4926, top1: 0.8696, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 47/4926, top1: 0.8723, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 48/4926, top1: 0.8750, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 49/4926, top1: 0.8776, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 50/4926, top1: 0.8800, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 51/4926, top1: 0.8824, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 52/4926, top1: 0.8846, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 53/4926, top1: 0.8868, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 54/4926, top1: 0.8889, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 55/4926, top1: 0.8909, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 56/4926, top1: 0.8929, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 57/4926, top1: 0.8947, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 58/4926, top1: 0.8966, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 59/4926, top1: 0.8983, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 60/4926, top1: 0.9000, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 61/4926, top1: 0.9016, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 62/4926, top1: 0.9032, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 63/4926, top1: 0.9048, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 64/4926, top1: 0.9062, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 65/4926, top1: 0.9077, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 66/4926, top1: 0.9091, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 67/4926, top1: 0.9104, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 68/4926, top1: 0.9118, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 69/4926, top1: 0.9130, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 70/4926, top1: 0.9143, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 71/4926, top1: 0.9155, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 72/4926, top1: 0.9167, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 73/4926, top1: 0.9178, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 74/4926, top1: 0.9189, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 75/4926, top1: 0.9200, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 76/4926, top1: 0.9211, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 77/4926, top1: 0.9221, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 78/4926, top1: 0.9231, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 79/4926, top1: 0.9241, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 80/4926, top1: 0.9250, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 81/4926, top1: 0.9259, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 82/4926, top1: 0.9268, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 83/4926, top1: 0.9277, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 84/4926, top1: 0.9286, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 85/4926, top1: 0.9294, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 86/4926, top1: 0.9302, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 87/4926, top1: 0.9310, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 88/4926, top1: 0.9318, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 89/4926, top1: 0.9326, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 90/4926, top1: 0.9333, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 91/4926, top1: 0.9341, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 92/4926, top1: 0.9348, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 93/4926, top1: 0.9355, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 94/4926, top1: 0.9362, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 95/4926, top1: 0.9368, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 96/4926, top1: 0.9375, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 97/4926, top1: 0.9381, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 98/4926, top1: 0.9388, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 99/4926, top1: 0.9394, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 100/4926, top1: 0.9400, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 101/4926, top1: 0.9406, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 102/4926, top1: 0.9412, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 103/4926, top1: 0.9417, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 104/4926, top1: 0.9423, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 105/4926, top1: 0.9429, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 106/4926, top1: 0.9434, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 107/4926, top1: 0.9439, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 108/4926, top1: 0.9444, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 109/4926, top1: 0.9450, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 110/4926, top1: 0.9455, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 111/4926, top1: 0.9459, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 112/4926, top1: 0.9375, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 113/4926, top1: 0.9381, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 114/4926, top1: 0.9386, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 115/4926, top1: 0.9391, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 116/4926, top1: 0.9397, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 117/4926, top1: 0.9402, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 118/4926, top1: 0.9407, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 119/4926, top1: 0.9412, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 120/4926, top1: 0.9417, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 121/4926, top1: 0.9421, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 122/4926, top1: 0.9426, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 123/4926, top1: 0.9431, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 124/4926, top1: 0.9435, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 125/4926, top1: 0.9440, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 126/4926, top1: 0.9444, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 127/4926, top1: 0.9370, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 128/4926, top1: 0.9375, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 129/4926, top1: 0.9380, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 130/4926, top1: 0.9385, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 131/4926, top1: 0.9389, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 132/4926, top1: 0.9394, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 133/4926, top1: 0.9398, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 134/4926, top1: 0.9403, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 135/4926, top1: 0.9407, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 136/4926, top1: 0.9412, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 137/4926, top1: 0.9416, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 138/4926, top1: 0.9420, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 139/4926, top1: 0.9424, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 140/4926, top1: 0.9429, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 141/4926, top1: 0.9433, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 142/4926, top1: 0.9437, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 143/4926, top1: 0.9441, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 144/4926, top1: 0.9375, top3: 1.0000, top5: 1.0000
